question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
"Polka requires the use of a wheelchair. In order to enter her home, she modifies the front door and lowers the door knob. Is she allowed to do this?","No, no modifications can be made","No, unless the owner allows it","Yes, she can make any modification she wishes","Yes, as long as she pays for it","Yes, as long as the owner pays",1,2,Fair Housing,,1
Income from a second home can be deducted from income taxes if,Owned for 2 years or more,The home is rented for 14 days or less,Rented for half the year or more,None of these,It has no mortgage or debt on it,2,2,Income Tax,,
Broker Gru mixes funds from commissions and client deposits in the same account. This is considered,An efficient way to avoid bank fees,Making it easier for accountants to track cash flow,Commingling and is illegal,Confusing and error prone,Legitimate as long as an independent party monitors it,3,2,License Law,,
A brokerage can avoid commingling by establishing a bank account for operations and,A separate escrow account,An audit committee,Periodic accounting reviews,Withdrawing cash daily,Keeping client money in a safe,1,2,License Law,,
"To avoid commingling, a client' security deposit should go into the brokerage's",Savings account,Bank account,Petty cash box,Granite safe,Escrow account,5,2,License Law,,
A broker's commission is earned when,"A ready, willing, able buyer offers the asking price",A contract is signed,The closing is done,Home inspection returns clean,Mortgage approval letter is issued,1,2,License Law,,
A broker's commission is earned when,Seller accepts offer,A contract is signed,The closing is done,Home inspection returns clean,Mortgage approval letter is issued,1,2,License Law,,
Broker Margaret represents seller Felix. Buyer Tomasz gives Margaret a written offer to buy Felix's condo at asking price. Has Margaret earned her commission?,"No, the deal could collapse","No, the contract hasn't been signed yet","Yes, offer and acceptance has occurred","No, Margaret only earns the commisson when it clears the bank",None of these,3,2,License Law,,
"The more liquid an asset, the more quickly it can be",Converted into cash,Priced,Collateralized,Hypothecated,Flipped,1,2,Commercial / Investment,1,1
Which of the following assets is LEAST liquid?,Car,50-unit building,Single family home,A current edition college textbook,Trailer,2,2,Commercial / Investment,,
Which of the following assets is MOST liquid?,Cash,Art,Six family home,A package of 12 condo units,Airplane,1,2,Commercial / Investment,,
"Broker Alonza has set up two bank accounts, one for operations and the other as client escrow. He receives a commission check for $5200 and deposits it  into the first account. This is considered",Commingling,None of these,Illegal,Fraudulent,Appropriate,5,2,License Law,,
Potential gross income of a building is,The maximum rental cash flow that it can produce,The income if all units were rented,What it could potentially sell for,The potential appreciation,None of these,1,2,Commercial / Investment,,
Mark owns a 6 unit rental building. Each unit's highest market rent is $2000. The potential gross income per year is,$144 ,"$14,400 ","$140,000 ",Depends on vacancy,"$144,000 ",5,2,Commercial / Investment,,1
Effective gross income  is equal to,Potential gross income after tax,Income from passive investments,Vacancy and collection losses,Potential gross income less vacancy and collection loss,Rental income less expenses,4,2,Commercial / Investment,,
"David's 7-unit building produces at best $1,000 a month per unit. However, each unit is vacant one month per year. His effective gross income is","$84,000 ","$77,000 ","$12,000 ","$1,000 ",None of,2,2,Commercial / Investment,,
"Monica's potential gross income on her rental is $12,000 / yr. She has a laundry machine in the basement that earns an additional $1,000 / yr. She has $1000 a year in average vacancy losses. What is her Effective Gross Income?","$13,000 ","$14,000 ","$12,000 ","$10,000 ",Cannot be computed,3,2,Commercial / Investment,,
Prabhit owns a 7 unit building. Each unit rents for $500 a month. He is able to collect 90% of the time. What is his effective gross income?,"$3,500 ","$42,000 ","$37,000 ","$37,800 ",$500 ,4,2,Commercial / Investment,,
Vacancy loss can be defined as,Cost of evicting a tenant,Cost of moving out of an apartment,The natural loss incurred at the opening of new construction,Rental income foregone due to vacancy,None of these,4,2,Commercial / Investment,,
Collection loss can be defined as,Cost it takes to hire a collection agency,Rent due but never received,The cost incurred collecting items,Rental income foregone due to vacancy,None of these,2,2,Commercial / Investment,,
Which is the following is the formula for calculating effective gross income?,Potential gross income + other income - vacancy and collection loss,Potential income / vacancy rate,Potential income x Occupancy rate,Gross income less expenses,NOI less expenses,1,2,Commercial / Investment,,
Max's building's potential gross income is $200K with a 5% vacancy rate. His effective gross income is,"$200,000 ","$210,000 ","$190,000 ","$4,000,000 ",None of these,3,2,Commercial / Investment,,
Which is the following is the formula for calculating effective gross income?,None of these,Potential income / vacancy rate,Potential income x Occupancy rate,Gross income less expenses,NOI less expenses,1,2,Commercial / Investment,1,1
"In the context of real esate finance, the acronym NOI stands for",No Offer Indicated,New Operating Income,Net Operating Income,No Operating Income,Next Operating Income,2,2,Finance and Economics,,
Net operating income is calculated as,Effective gross income less expenses,Revenues plus expenses,Assets plus liabilities,Assets less liabilities,Potential gross income less vacancy loss,1,2,Finance and Economics,,
Net operating income is calculated as,None of these,Revenues plus expenses,Assets plus liabilities,Assets less liabilities,Potential gross income less vacancy loss,1,2,Finance and Economics,,
Net operating income is calculated as,PGI + Other Income - Vacancy and collection losses - expenses,Revenues plus expenses,Assets plus liabilities,Shareholer's equity plus liabilities,Potential gross income less vacancy loss,1,2,Finance and Economics,,1
Vacancy and collection loss is typically estimated to be,10%,7%,5%,50%,100%,3,2,Finance and Economics,,
The relationship between potential gross income (PGI) and effective gross income (EGI) is,PGI is always less than the value of the property,EGI is always more than PGI,NOI = PGI + EGI,EGI is PGI less vacancy and collection losses,None of these,4,2,Finance and Economics,,
Constructive eviction is,When a landlord criticizes the tenant,An eviction through the courts,When a landlord makes an apartment difficult to live in,An eviction where all parties agree,An eviction before construction work commences,3,2,Property Management,,
When a landlord shuts off the light in order to force a tenant out the landlord is performing a,Estate at sufferance eviction,Constructive eviction,Dereliction eviction,Eviction for non-payment,Court eviction,2,2,Property Management,,
Constructive evictions are considered to be,Legal,Illegal for commercial properties only,Legal for residential properties,Illegal for residential properties,Extremely effective,4,2,Property Management,,
"The difference between a constructive eviction and a court ordered eviction, respectively, is",Illegal and legal,Legal and illegal,Both are legal,Both are illegal,Both violate fair housing,1,2,Property Management,,
Landord Gargamel decides to lower the heat to 57 degrees during the winter for all 14 of his occupied rental units. This can be construed as,Illegal and a constructive eviction,Energy efficient,Legal and constructive,In accordance with energy policies of the utility company,Necessary to maximize Net Operating Income,1,2,Property Management,,
The condition where a lease expires and a tenant continues to occupy the apartment is known as,Holdover effect,Stayed sufferance,Estate at will,Estate at sufferance,Stayed,4,2,Property Management,,
Pluto's lease for his 2 bedroom apartment in the Lower East side expires but he continues to stay. This condition is known as,Holdover effect,Vacancy loss,Restitution,Estate at sufferance,Estate at will,4,2,Property Management,,
An estate at sufferance occurs when a tenant,Breaks a lease,Extends a lease,Stays and stops paying after lease expires,Stops paying rent,None of these,3,2,Property Management,1,1
An estate at sufferance occurs when a tenant,Breaks a lease,Extends a lease,None of these,Stops paying rent,Uses up the security deposit,3,2,Property Management,,
The landord's method to remedy an estate at sufference is to,Commenece constructive eviction,Change locks on all doors,Call the police,Obtain a court order for eviction,Put tenant's personal items on the street,4,2,Property Management,,
If a landlord accepts rent money from an estate at sufference then court will regard it as a / an,Implied lease,Explicit lease,Lease renewal,New lease,Basis for adverse possession,1,2,Property Management,,
"Veronica's tenant's lease expired two months ago and has stopped paying rent. As an estate in sufferance, if Veronica accepts a partial payment, the court would consider it a / an",Implied lease,Explicit lease,Lease renewal,New lease,Basis for adverse possession,1,2,Property Management,,
If a landlord accepts rent money from an estate at sufference then court will regard it as a / an,None of these,Explicit lease,Lease renewal,New lease,Basis for adverse possession,1,2,Property Management,,
"To legally evict a tenant, a landlord must",Entrap the tenant in a crime,Monitor the tenant,Cease all communication,Seek an eviction court order,Accept as much partial rent as possible,4,2,Property Management,,
The deed that offers the buyer the most protection is,Full convenant and warranty,Bargain and sale,Judicial deed,Quitclaim,None of these,1,2,Deeds,,
Ownership of a property is transferred when there is which of the following of the deed?,Delivery,Notarization,Offer and acceptance,Duplication,Filing with the city clerk,3,2,Deeds,,
"In the context of a deed, the relationship between a grantor and a grantee is","Grantor gives the deed, grantee receives","Grantor receives the deed, grantee gives it","Grantor creates the deed, grantee files it","Grantor files it, grantee notarizes it","Grantor sells the deed, grantee buys the deed",1,2,Deeds,,
Why are deeds notarized?,To effect the sale,Required by title companies,To be eligible to be filed with the county clerk,Prevent forgeries,Confirm the sale is real,3,2,Deeds,,
"In order for a deed to be eligible to be filed with the county clerk, it first must be",Authenticated,Verified,Notarized,Validated,Signed by the grantee,3,2,Deeds,,
A deed in the sale of a property must be signed by,Both grantor and grantee,Just the grantee,Grantor,Title company,Escrow agent,3,2,Deeds,,
Parker purchases a house. He asks his attorney to file the deed with the county clerk. The attorney agrees to but states that the deed must be first,Copied,Notarized,Signed by grantee,Modified,Reissued,2,2,Deeds,,
Notarization of a deed is also known as,Acceptance,Affirmation,Confirmation,Knowledge,Acknowledgement,5,2,Deeds,1,1
The best type of deed to clear a cloud on title would be,Full convenant and warranty,Bargain and sale,Judicial deed,Quitclaim,None of these,4,2,Deeds,,
An insurance deductible is a,Reduction in premiums,Upfront payment insured must pay before insurance pays a claim,A discount on annual insurance costs,An optional expense item on a pro forma,None of these,2,2,Property Insurance,,
"Monica has an insurance policy on her home. Her deductible is $500. A fallen tree has caused $2000 in damages. If the insurance pays her claim, how much would it pay?",$500 ,"$1,500 ","$2,000 ","$2,500 ","$1,000 ",2,2,Property Insurance,,1
An umbrella insurance policy provides coverage in which of the following ways?,Provides additonal coverage beyond existing coverage,Insures multiple properties as one,Rain and flooding protection,Increases coverage and reduces the deductible,None of these,1,2,Property Insurance,,
"Justin has a $200,000 insurance policy on his townhouse. Adding what kind of policy would cover claims between $200,000 and $2MM?",Graduated,Escalated,Extended,Umbrella,Package,4,2,Property Insurance,,
